family,value,topology,trial,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,1,ER,18,0.15,0.05,1,8.0,13.0,1.0,1.0,742.0,0.986,19735.0,0.996,7735.0,6739.0,985.0,119.0,0.0
seed_count,1,ER,18,0.02,0.05,1,93.0,168.0,1.0,1.0,123.0,0.705,13926.0,0.986,35578.0,34592.0,704.0,320.0,0.0
seed_count,5,ER,18,0.15,0.05,5,5.0,9.0,1.0,1.0,737.0,0.992,19950.0,0.992,7393.0,6401.0,987.0,137.0,0.0
seed_count,5,ER,18,0.02,0.05,5,44.0,99.0,1.0,1.0,153.0,0.717,14549.0,0.98,35525.0,34545.0,712.0,330.0,0.0
seed_count,10,ER,18,0.15,0.05,10,5.0,8.0,1.0,1.0,720.0,0.988,19582.0,0.987,7464.0,6477.0,978.0,130.0,0.0
seed_count,10,ER,18,0.02,0.05,10,50.0,118.0,1.0,1.0,136.0,0.671,13741.0,0.971,34679.0,33708.0,661.0,313.0,0.0
seed_count,1,WS,2,0.15,0.05,1,,,0.0,0.0,1.0,0.001,1.0,0.006,6.0,0.0,0.0,1.0,0.0
seed_count,1,WS,2,0.02,0.05,1,,,0.0,0.0,8.0,0.032,647.0,0.071,1575.0,1504.0,31.0,151.0,0.0
seed_count,5,WS,2,0.15,0.05,5,8.0,16.0,1.0,1.0,608.0,1.0,20259.0,0.995,7305.0,6310.0,995.0,181.0,0.0
seed_count,5,WS,2,0.02,0.05,5,233.0,,1.0,0.0,20.0,0.181,3630.0,0.353,8934.0,8581.0,176.0,421.0,0.0
seed_count,10,WS,2,0.15,0.05,10,6.0,12.0,1.0,1.0,622.0,0.999,19197.0,0.99,7417.0,6427.0,989.0,160.0,0.0
seed_count,10,WS,2,0.02,0.05,10,73.0,,1.0,0.0,32.0,0.184,3635.0,0.368,8788.0,8420.0,174.0,250.0,0.0
seed_count,1,WS,1,0.15,0.05,1,25.0,33.0,1.0,1.0,629.0,1.0,20238.0,0.999,7826.0,6827.0,999.0,166.0,0.0
seed_count,1,WS,1,0.02,0.05,1,,,0.0,0.0,3.0,0.004,49.0,0.016,183.0,167.0,3.0,28.0,0.0
seed_count,5,WS,1,0.15,0.05,5,8.0,15.0,1.0,1.0,642.0,0.999,19401.0,0.995,7476.0,6481.0,994.0,231.0,0.0
seed_count,5,WS,1,0.02,0.05,5,142.0,,1.0,0.0,25.0,0.217,3979.0,0.462,10598.0,10136.0,212.0,326.0,0.0
seed_count,10,WS,1,0.15,0.05,10,5.0,13.0,1.0,1.0,630.0,1.0,20348.0,0.99,7475.0,6485.0,990.0,138.0,0.0
seed_count,10,WS,1,0.02,0.05,10,69.0,,1.0,0.0,31.0,0.162,2999.0,0.335,7025.0,6690.0,152.0,255.0,0.0
seed_count,1,ER,19,0.15,0.05,1,7.0,12.0,1.0,1.0,716.0,0.995,20587.0,0.998,7373.0,6375.0,994.0,187.0,0.0
seed_count,1,ER,19,0.02,0.05,1,82.0,129.0,1.0,1.0,176.0,0.679,13155.0,0.987,34978.0,33991.0,678.0,324.0,0.0
seed_count,5,ER,19,0.15,0.05,5,5.0,9.0,1.0,1.0,732.0,0.991,21594.0,0.994,7314.0,6320.0,986.0,147.0,0.0
seed_count,5,ER,19,0.02,0.05,5,81.0,143.0,1.0,1.0,141.0,0.736,14693.0,0.985,36548.0,35563.0,731.0,288.0,0.0
seed_count,10,ER,19,0.15,0.05,10,5.0,9.0,1.0,1.0,727.0,0.992,19955.0,0.989,7339.0,6350.0,982.0,146.0,0.0
seed_count,10,ER,19,0.02,0.05,10,25.0,75.0,1.0,1.0,176.0,0.724,14411.0,0.983,35158.0,34175.0,714.0,268.0,0.0
seed_count,1,WS,3,0.15,0.05,1,14.0,22.0,1.0,1.0,603.0,1.0,18578.0,0.999,7489.0,6490.0,999.0,125.0,0.0
seed_count,1,WS,3,0.02,0.05,1,,,0.0,0.0,3.0,0.004,78.0,0.014,283.0,269.0,3.0,59.0,0.0
seed_count,5,WS,3,0.15,0.05,5,10.0,18.0,1.0,1.0,614.0,0.999,19344.0,0.995,7605.0,6610.0,994.0,160.0,0.0
seed_count,5,WS,3,0.02,0.05,5,123.0,,1.0,0.0,36.0,0.159,3172.0,0.353,8172.0,7819.0,154.0,230.0,0.0
