topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,1,degree_correlated,0.05,random,5.0,9.0,1.0,1.0,697.0,0.936,17860.0,0.94,5856.0,4916.0,931.0,150.0,0.05
ER,1,degree_correlated,0.05,degree,6.0,11.0,1.0,1.0,641.0,0.928,18286.0,0.94,6231.0,5291.0,923.0,162.0,0.05
ER,1,degree_correlated,0.05,betweenness,7.0,11.0,1.0,1.0,687.0,0.929,18525.0,0.939,6310.0,5371.0,924.0,183.0,0.05
ER,1,degree_correlated,0.05,kcore,5.0,10.0,1.0,1.0,613.0,0.922,18836.0,0.939,6460.0,5521.0,917.0,168.0,0.05
ER,1,degree_correlated,0.05,collective_influence,6.0,10.0,1.0,1.0,663.0,0.93,18826.0,0.94,6296.0,5356.0,925.0,127.0,0.05
ER,1,degree_correlated,0.05,community_bridge,6.0,10.0,1.0,1.0,685.0,0.932,18957.0,0.941,6492.0,5551.0,927.0,138.0,0.05
ER,7,homogeneous,0.05,random,5.0,9.0,1.0,1.0,697.0,0.931,19060.0,0.938,6762.0,5824.0,926.0,140.0,0.05
ER,7,homogeneous,0.05,degree,6.0,11.0,1.0,1.0,639.0,0.929,18942.0,0.935,7008.0,6073.0,924.0,176.0,0.05
ER,7,homogeneous,0.05,betweenness,6.0,11.0,1.0,1.0,670.0,0.935,19117.0,0.939,6699.0,5760.0,930.0,144.0,0.05
ER,7,homogeneous,0.05,kcore,6.0,11.0,1.0,1.0,674.0,0.935,19658.0,0.937,7056.0,6119.0,930.0,221.0,0.05
ER,7,homogeneous,0.05,collective_influence,6.0,11.0,1.0,1.0,669.0,0.934,17939.0,0.937,6712.0,5775.0,929.0,166.0,0.05
ER,7,homogeneous,0.05,community_bridge,6.0,11.0,1.0,1.0,654.0,0.935,19728.0,0.939,6811.0,5872.0,930.0,130.0,0.05
ER,7,moderate,0.05,random,8.0,13.0,1.0,1.0,665.0,0.933,19039.0,0.94,7369.0,6429.0,928.0,147.0,0.05
ER,7,moderate,0.05,degree,6.0,11.0,1.0,1.0,625.0,0.93,18663.0,0.936,6967.0,6031.0,925.0,180.0,0.05
ER,7,moderate,0.05,betweenness,8.0,13.0,1.0,1.0,648.0,0.931,18960.0,0.939,7313.0,6374.0,926.0,163.0,0.05
ER,7,moderate,0.05,kcore,7.0,11.0,1.0,1.0,643.0,0.93,18438.0,0.937,7186.0,6249.0,925.0,131.0,0.05
ER,7,moderate,0.05,collective_influence,7.0,12.0,1.0,1.0,640.0,0.936,19347.0,0.938,7371.0,6433.0,931.0,179.0,0.05
ER,7,moderate,0.05,community_bridge,6.0,11.0,1.0,1.0,660.0,0.933,18580.0,0.938,6849.0,5911.0,928.0,186.0,0.05
