behavior,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
strong,BA,random,6.1,1.0711528467275953,10.15,1.22581873821025,1.0,0.0,0.9234500000000001,0.00677825470472345,18457.0,624.2453970911389,0.9448000000000001,0.0005231483637805989,9216.1,432.4370230997438
strong,ER,betweenness,7.35,2.0332758116683998,13.1,2.04939015319192,1.0,0.0,0.9178000000000001,0.007402702209328711,18226.5,619.8602134437463,0.9381,0.0025935141776118158,8949.4,348.5925686921169
strong,ER,collective_influence,7.35,1.5652475842498528,13.45,1.6375527311718607,1.0,0.0,0.9202,0.007105224171433001,18662.0,663.2354507698561,0.9400999999999999,0.002221900561515544,8803.4,275.39701485214715
strong,ER,community_bridge,7.6,1.429022485182754,13.4,1.6351404253232553,1.0,0.0,0.9208500000000001,0.005421934011130423,18604.0,504.40679072184963,0.9402999999999999,0.0020545200489600563,8904.8,291.14015434784017
strong,ER,degree,8.65,1.954078056944394,14.9,2.100125309544522,1.0,0.0,0.9193,0.005601691473869386,18354.45,662.8417668604907,0.9391999999999999,0.001823819012257945,8925.25,585.3730142306472
strong,ER,kcore,8.05,1.234376040972246,14.35,1.4608937423083819,1.0,0.0,0.9171000000000001,0.006616566131190797,18439.5,454.90444340716215,0.9394,0.0025833474815684637,8769.5,364.7796018073609
strong,ER,random,6.95,1.2763022245616642,12.35,1.4608937423083819,1.0,0.0,0.9271499999999999,0.005431632496676066,18541.45,759.4040929016575,0.9414999999999999,0.0020900768054384093,8899.6,413.35742148259163
strong,WS,betweenness,12.1,3.193743884534262,26.2,3.3182113127089226,1.0,0.0,0.94085,0.008809534308738553,18635.6,615.9861925998704,0.9432499999999999,0.004458876422078561,9163.9,402.6229658521467
strong,WS,collective_influence,13.9,3.9323222012872807,29.9,4.470958922223567,1.0,0.0,0.9408,0.0075085915702227625,18913.3,500.96098177718176,0.9437,0.002319255778999177,9353.4,493.05144388368785
strong,WS,community_bridge,11.75,2.4251966822029964,26.05,4.084308870221304,1.0,0.0,0.9385999999999999,0.008567994299472248,18456.55,814.6102377663098,0.9426499999999999,0.004498830257323592,9208.3,460.1208193736217
strong,WS,degree,12.45,2.372540277512913,27.35,3.787444632216458,1.0,0.0,0.9300499999999999,0.011071418869750752,18537.3,493.41752363650284,0.9381999999999999,0.005708719093125021,9223.4,317.94329186524004
strong,WS,kcore,12.55,3.3946552417773317,27.3,4.414092265269926,1.0,0.0,0.9314,0.013743515217232992,18558.2,756.8068376235007,0.93825,0.008219841207327714,9179.45,491.8162338666106
strong,WS,random,11.65,3.34467369189629,23.85,3.897029908181763,1.0,0.0,0.9440999999999999,0.003959000405471859,18836.15,458.9881634754059,0.9449,0.0003077935056255718,9321.8,363.7769125511722
